SYMBOL,DATE,PRICE,SIZE
MSFT,20130212 9:00:00,27.82,4466394
MSFT,20130212 10:00:00,27.85,5848367
MSFT,20130212 11:00:00,27.80,4633643
MSFT,20130212 12:00:00,27.89,3928680
MSFT,20130212 13:00:00,27.95,2714886
MSFT,20130212 14:00:00,27.97,4258064
MSFT,20130212 15:00:00,27.89,8321450
MSFT,20130213 9:00:00,27.92,4869839
MSFT,20130213 10:00:00,28.05,11618977
MSFT,20130213 11:00:00,27.97,7039484
MSFT,20130213 12:00:00,27.95,3237704
MSFT,20130213 13:00:00,28.01,4157274
MSFT,20130213 14:00:00,28.03,4664856
MSFT,20130213 15:00:00,27.99,4969528
MSFT,20130214 9:00:00,27.94,3681873
MSFT,20130214 10:00:00,27.98,3851576
MSFT,20130214 11:00:00,27.99,3199795
MSFT,20130214 12:00:00,27.98,2977810
MSFT,20130214 13:00:00,27.98,2911271
MSFT,20130214 14:00:00,27.99,2541921
MSFT,20130214 15:00:00,28.00,6108934
MSFT,20130215 9:00:00,28.09,19855420
MSFT,20130215 10:00:00,28.04,5583203
MSFT,20130215 11:00:00,27.98,4482989
MSFT,20130215 12:00:00,27.98,2981335
MSFT,20130215 13:00:00,27.98,2651562
MSFT,20130215 14:00:00,27.93,7754942
MSFT,20130215 15:00:00,27.97,9993145
MSFT,20130219 9:00:00,27.91,6646655
MSFT,20130219 10:00:00,28.01,6745301
MSFT,20130219 11:00:00,27.98,3265160
MSFT,20130219 12:00:00,27.98,2605675
MSFT,20130219 13:00:00,27.97,2914113
MSFT,20130219 14:00:00,27.95,2922519
MSFT,20130219 15:00:00,28.01,7107082
MSFT,20130220 9:00:00,28.06,6191862
MSFT,20130220 10:00:00,28.05,4872681
MSFT,20130220 11:00:00,27.93,8675141
MSFT,20130220 12:00:00,27.95,3008764
MSFT,20130220 13:00:00,27.93,3649212
MSFT,20130220 14:00:00,27.91,5633654
MSFT,20130220 15:00:00,27.87,10265854
MSFT,20130221 9:00:00,27.62,6328421
MSFT,20130221 10:00:00,27.55,9216833
MSFT,20130221 11:00:00,27.51,7511605
MSFT,20130221 12:00:00,27.49,5790950
MSFT,20130221 13:00:00,27.47,4635622
MSFT,20130221 14:00:00,27.50,6140692
MSFT,20130221 15:00:00,27.53,7134445
MSFT,20130222 9:00:00,27.55,5119068
MSFT,20130222 10:00:00,27.57,4979362
MSFT,20130222 11:00:00,27.58,3361790
MSFT,20130222 12:00:00,27.62,2309995
MSFT,20130222 13:00:00,27.63,2501877
MSFT,20130222 14:00:00,27.62,2983149
MSFT,20130222 15:00:00,27.69,6860623
MSFT,20130225 9:00:00,27.92,4398036
MSFT,20130225 10:00:00,27.87,6922425
MSFT,20130225 11:00:00,27.76,6232135
MSFT,20130225 12:00:00,27.74,2889943
MSFT,20130225 13:00:00,27.73,4353121
MSFT,20130225 14:00:00,27.66,4951653
MSFT,20130225 15:00:00,27.55,14456654
MSFT,20130226 9:00:00,27.45,4707550
MSFT,20130226 10:00:00,27.48,7563381
MSFT,20130226 11:00:00,27.43,5708618
MSFT,20130226 12:00:00,27.39,8005186
MSFT,20130226 13:00:00,27.37,6833836
MSFT,20130226 14:00:00,27.37,5868572
MSFT,20130226 15:00:00,27.37,9032439
MSFT,20130227 9:00:00,27.42,3399528
MSFT,20130227 10:00:00,27.53,6755789
MSFT,20130227 11:00:00,27.76,6198174
MSFT,20130227 12:00:00,27.87,3834663
MSFT,20130227 13:00:00,27.83,2366067
MSFT,20130227 14:00:00,27.91,3723700
MSFT,20130227 15:00:00,27.93,8689095
MSFT,20130228 9:00:00,27.87,3416660
MSFT,20130228 10:00:00,27.86,4235486
MSFT,20130228 11:00:00,27.81,2651886
MSFT,20130228 12:00:00,27.85,1722638
MSFT,20130228 13:00:00,27.88,2830185
MSFT,20130228 14:00:00,27.92,3076904
MSFT,20130228 15:00:00,27.85,9521447
MSFT,20130301 9:00:00,27.60,4910005
MSFT,20130301 10:00:00,27.67,5816808
MSFT,20130301 11:00:00,27.83,3516254
MSFT,20130301 12:00:00,27.89,3455772
MSFT,20130301 13:00:00,27.93,2410895
MSFT,20130301 14:00:00,27.89,2877936
MSFT,20130301 15:00:00,27.92,9855379
MSFT,20130304 9:00:00,27.84,4243939
MSFT,20130304 10:00:00,27.75,4306150
MSFT,20130304 11:00:00,27.83,3498849
MSFT,20130304 12:00:00,27.82,2791172
MSFT,20130304 13:00:00,27.83,2911585
MSFT,20130304 14:00:00,27.94,6223153
MSFT,20130304 15:00:00,28.07,10648529
MSFT,20130305 9:00:00,28.27,8157328
MSFT,20130305 10:00:00,28.43,9459383
MSFT,20130305 11:00:00,28.42,4756771
MSFT,20130305 12:00:00,28.34,2916560
MSFT,20130305 13:00:00,28.31,3998301
MSFT,20130305 14:00:00,28.29,3656227
MSFT,20130305 15:00:00,28.29,6444720
MSFT,20130306 9:00:00,27.93,13929465
MSFT,20130306 10:00:00,27.96,8556225
MSFT,20130306 11:00:00,27.97,5523766
MSFT,20130306 12:00:00,28.00,5072241
MSFT,20130306 13:00:00,28.04,3226235
MSFT,20130306 14:00:00,28.12,6366312
MSFT,20130306 15:00:00,28.12,8229502
MSFT,20130307 9:00:00,28.08,3291328
MSFT,20130307 10:00:00,28.19,4149417
MSFT,20130307 11:00:00,28.17,3230310
MSFT,20130307 12:00:00,28.20,3553924
MSFT,20130307 13:00:00,28.21,2796294
MSFT,20130307 14:00:00,28.15,4943414
MSFT,20130307 15:00:00,28.16,5372820
MSFT,20130308 9:00:00,28.18,4407487
MSFT,20130308 10:00:00,28.13,4618176
MSFT,20130308 11:00:00,28.18,2607871
MSFT,20130308 12:00:00,28.13,3677556
MSFT,20130308 13:00:00,28.07,3486495
MSFT,20130308 14:00:00,28.04,3412925
MSFT,20130308 15:00:00,28.06,12637890
MSFT,20130311 9:00:00,27.85,5421175
MSFT,20130311 10:00:00,27.79,5152841
MSFT,20130311 11:00:00,27.79,3095526
MSFT,20130311 12:00:00,27.82,3378977
MSFT,20130311 13:00:00,27.86,3594065
MSFT,20130311 14:00:00,27.81,3645531
MSFT,20130311 15:00:00,27.80,8413155
MSFT,20130312 9:00:00,27.85,3491916
MSFT,20130312 10:00:00,27.79,5115555
MSFT,20130312 11:00:00,27.70,8609712
MSFT,20130312 12:00:00,27.73,3532381
MSFT,20130312 13:00:00,27.77,3195678
MSFT,20130312 14:00:00,27.76,3751234
MSFT,20130312 15:00:00,27.88,7972164
MSFT,20130313 9:00:00,27.81,4367502
MSFT,20130313 10:00:00,27.83,3075634
MSFT,20130313 11:00:00,27.90,3110930
MSFT,20130313 12:00:00,27.91,3152411
MSFT,20130313 13:00:00,27.93,2472878
MSFT,20130313 14:00:00,27.98,4182988
MSFT,20130313 15:00:00,27.95,8893272
MSFT,20130314 9:00:00,27.98,10808852
MSFT,20130314 10:00:00,27.99,9807368
MSFT,20130314 11:00:00,28.01,5753006
MSFT,20130314 12:00:00,28.05,6411790
MSFT,20130314 13:00:00,28.08,5607928
MSFT,20130314 14:00:00,28.08,4304827
MSFT,20130314 15:00:00,28.11,10293085
MSFT,20130315 9:00:00,28.02,46431353
MSFT,20130315 10:00:00,28.07,11548080
MSFT,20130315 11:00:00,28.04,6635209
MSFT,20130315 12:00:00,28.04,4842613
MSFT,20130315 13:00:00,28.06,4920979
MSFT,20130315 14:00:00,28.04,7393468
MSFT,20130315 15:00:00,28.04,14772100
MSFT,20130318 9:00:00,27.96,8652140
MSFT,20130318 10:00:00,28.15,6669241
MSFT,20130318 11:00:00,28.14,5341466
MSFT,20130318 12:00:00,28.24,4283575
MSFT,20130318 13:00:00,28.23,2768957
MSFT,20130318 14:00:00,28.22,3818133
MSFT,20130318 15:00:00,28.12,10137932
MSFT,20130319 9:00:00,28.12,3748363
MSFT,20130319 10:00:00,28.12,6736402
MSFT,20130319 11:00:00,28.07,6639540
MSFT,20130319 12:00:00,28.07,6551939
MSFT,20130319 13:00:00,28.06,9486978
MSFT,20130319 14:00:00,28.07,7080229
MSFT,20130319 15:00:00,28.10,10054611
MSFT,20130320 9:00:00,28.40,5439661
MSFT,20130320 10:00:00,28.30,5429607
MSFT,20130320 11:00:00,28.22,4146512
MSFT,20130320 12:00:00,28.21,3407884
MSFT,20130320 13:00:00,28.23,2104197
MSFT,20130320 14:00:00,28.32,4336807
MSFT,20130320 15:00:00,28.29,7702489
MSFT,20130321 9:00:00,28.20,4351926
MSFT,20130321 10:00:00,28.19,5058237
MSFT,20130321 11:00:00,28.16,3290059
MSFT,20130321 12:00:00,28.14,2927145
MSFT,20130321 13:00:00,28.10,4241317
MSFT,20130321 14:00:00,28.09,4282087
MSFT,20130321 15:00:00,28.14,6267992
MSFT,20130322 9:00:00,28.17,3273503
MSFT,20130322 10:00:00,28.16,4082233
MSFT,20130322 11:00:00,28.13,3578105
MSFT,20130322 12:00:00,28.15,4464201
MSFT,20130322 13:00:00,28.27,2948791
MSFT,20130322 14:00:00,28.24,3068411
MSFT,20130322 15:00:00,28.20,5783735
MSFT,20130325 9:00:00,28.25,2963201
MSFT,20130325 10:00:00,28.15,4653959
MSFT,20130325 11:00:00,28.05,7334855
MSFT,20130325 12:00:00,28.08,4835987
MSFT,20130325 13:00:00,28.14,8204738
MSFT,20130325 14:00:00,28.18,2834353
MSFT,20130325 15:00:00,28.13,6820502
MSFT,20130326 9:00:00,28.28,3417030
MSFT,20130326 10:00:00,28.26,4202019
MSFT,20130326 11:00:00,28.25,2615631
MSFT,20130326 12:00:00,28.16,2987478
MSFT,20130326 13:00:00,28.14,3004199
MSFT,20130326 14:00:00,28.14,3385939
MSFT,20130326 15:00:00,28.15,7219645
MSFT,20130327 9:00:00,28.14,4486674
MSFT,20130327 10:00:00,28.20,4580879
MSFT,20130327 11:00:00,28.31,4652320
MSFT,20130327 12:00:00,28.29,3163267
MSFT,20130327 13:00:00,28.28,2636653
MSFT,20130327 14:00:00,28.35,4543513
MSFT,20130327 15:00:00,28.38,10360830
MSFT,20130328 9:00:00,28.37,4275676
MSFT,20130328 10:00:00,28.42,3749792
MSFT,20130328 11:00:00,28.56,11600520
MSFT,20130328 12:00:00,28.50,8764109
MSFT,20130328 13:00:00,28.48,1962696
MSFT,20130328 14:00:00,28.53,4453323
MSFT,20130328 15:00:00,28.57,8501972
MSFT,20130401 9:00:00,28.59,3970898
MSFT,20130401 10:00:00,28.51,7016551
MSFT,20130401 11:00:00,28.52,2865030
MSFT,20130401 12:00:00,28.52,2697178
MSFT,20130401 13:00:00,28.52,1678217
MSFT,20130401 14:00:00,28.50,2685057
MSFT,20130401 15:00:00,28.53,6965293
MSFT,20130402 9:00:00,28.66,4408632
MSFT,20130402 10:00:00,28.76,5826489
MSFT,20130402 11:00:00,28.78,2535130
MSFT,20130402 12:00:00,28.77,1675744
MSFT,20130402 13:00:00,28.77,2338947
MSFT,20130402 14:00:00,28.72,2957374
MSFT,20130402 15:00:00,28.75,6899798
MSFT,20130403 9:00:00,28.82,4009985
MSFT,20130403 10:00:00,28.85,6434201
MSFT,20130403 11:00:00,28.87,3950008
MSFT,20130403 12:00:00,28.90,3292819
MSFT,20130403 13:00:00,28.80,5863070
MSFT,20130403 14:00:00,28.67,3886592
MSFT,20130403 15:00:00,28.61,6411744
MSFT,20130404 9:00:00,28.35,7935681
MSFT,20130404 10:00:00,28.42,10895238
MSFT,20130404 11:00:00,28.41,4921312
MSFT,20130404 12:00:00,28.40,4510375
MSFT,20130404 13:00:00,28.42,3790138
